Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,LAT,LON,Seniority,Minimum Estimate,Maximum Estimate,City,State,AvgSalary
Senior Data Scientist,$119K-$188K (Glassdoor est.),"Klaviyo is looking for Senior Data Scientists to join our team which is still in its early days. You'll have a big impact on our direction and how we operate. You'll be central to upfront research and shipping products that help our customers learn and grow from their data.

The ideal candidate has a background in data science, statistics and machine learning and has done work ranging from exploratory analysis to training and deploying models. We use a wide variety of data mining and machine learning algorithms. The right candidate will have both a solid fundamental understanding and deep practical experience with at least a few modeling and machine learning techniques.

You should have experience building models that are used by people to make better decisions. We're focused on shipping early and often. We prefer iterative solutions that are incrementally better to the perfect solution.

How you will make a difference:


Analyze large data sets (we're collecting billions of individual actions every month).
Build models and ship products that enable businesses to grow faster and communicate with their customers.
Democratize and open up that technology to everyone (Our background as a team is building these models for the Fortune 50).
Match the right assumptions and models to the right problem.
Measure and know what impact your models had on the decisions people made -- e.g. did they outperform the previous best model or a human decision maker?

Who You Are:


Bachelor's or advanced degree in statistics, applied mathematics, computer science or other relevant quantitative discipline, or equivalent industry experience.
Have worked in a data science role for 5+ years professionally or academically and can talk about your projects and the techniques you used.
Have a strong fundamental understanding and deep experience with at least a few machine learning algorithms (e.g. regressions, decision trees, k-means clustering, neural networks).
Understand Bayesian modeling techniques.
Are capable of analyzing data and making rigorous statements about what can or cannot be concluded.
Have experience designing and implementing model performance/validation assessments.
Have a background in statistics and understand different distributions and the conditions under which they're valid.
Know how code and have used data science tools and packages.
Have demonstrated a measurable impact based on the models you've created. It's not always easy getting a model correct and we love talking about places we got stuck and working as a team to think through ideas that could unblock us.
Have a desire to ship features powered by data science (in other words, you're excited by both upfront research and actually getting models into production at cloud scale).

Get to know Klaviyo

Klaviyo is the world's leading owned marketing platform known for accelerating revenue for online businesses using the channels they own like email, web, and mobile. Enabling companies to leverage these owned marketing channels, Klaviyo makes it easy to store, access, analyze and use transactional and behavioral data to power highly-targeted customer and prospect communications. And unlike other marketing platforms, Klaviyo doesn't force companies to compromise between advanced functionality or ease of use - so companies of all sizes are able to maximize their sales quickly. That's why over 28,000+ innovative companies like Unilever, Custom Ink and Eventbrite sell more with Klaviyo.",4.7,"Klaviyo
4.7","Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,42.3600825,-71.0588801,senior,119,188,Boston, MA,153.5
Data Scientist,$119K-$188K (Glassdoor est.),"Why Divvy?

Over the past decade, millions of Americans have been forced to put their dreams of homeownership on hold. Home prices have outpaced wage growth while mortgage requirements continue to tighten. As a result, renters are missing out on a critical wealth-building opportunity: owning a home.

At Divvy, we're building an on-ramp to homeownership – one that's more affordable, more flexible, and an overall better fit for the modern American family – and it’s working.

We’re looking for a Data Scientist to join our growing company. In this role, you’ll ensure the financial viability of our business by developing our underwriting and/or pricing models. Developing this model will also mean simulating new financial product offerings which match customer needs to Divvy’s capacities. Day to day, this will include a mix of dataset acquisition, statistical modeling, exploratory data analysis, and software engineering. You’ll report directly to Divvy’s Head of Data Science and work alongside a team of 8-10 software engineers and data scientists.
Responsibilities
Build and refine our default and/or pricing models using structured data
Identify, analyze, and acquire new data sources to improve model accuracy
Influence Divvy’s product offerings based on quantitative insights
Become a domain expert in risk and/or pricing
Work Experience
You have 3+ years of experience in machine learning, data science or analytics
You have experience in either R or Python
You have a strong understanding of statistical modeling techniques
You demonstrate the ability to clearly communicate analysis
Bonus points for previous credit default modeling experience, risk management experience, and/or real estate pricing (AVM) experience
Perks
Competitive salary + equity
Full benefits (medical, dental, vision, 401k, commuter)
A beautiful dog-friendly office
Diverse, smart, and witty co-workers
Commitment to Diversity & Inclusion

We prioritize a commitment to diversity in our team building process. We enthusiastically encourage individuals from a variety of lived experiences to reach out.",-1.0,Divvy Homes,"San Francisco, CA","San Francisco, CA",1 to 50 employees,-1,Company - Private,Real Estate,Real Estate,Unknown / Non-Applicable,-1,37.7749295,-122.4194155,unspecified,119,188,San Francisco, CA,153.5
"Director, Data Science",$119K-$188K (Glassdoor est.),"Director, Data Science - (200500)
Description
Edelman Intelligence is seeking a Director-level Data Scientist. The person in this role is will work to help drive our predictive analytics business by building out the Big Data / machine learning / AI capabilities of the Predictive Intelligence capabilities. This person will contribute significantly towards client deliverables, help develop new analytical approaches and offerings, and mentor more junior team members.

Responsibilities:

• Assist in the leadership of day to day project execution, including client deliverables, status updates, and project management
• Efficiently manage data from disparate sources, distilling into datasets prepared for data science
• Execute statistical models to support client projects
• Prepare client facing material (example: PowerPoint slides and charts), distilling analytical insights effectively into stories for clients
• Develop standardized code and processes that can be easily used by the larger team
• Support senior staff in the development of client proposals
• Mentor junior analytics team members and provide training on analytical offerings throughout the organization
Qualifications:
• Academic background in data science, including big data, machine learning, and AI
• Comfortable with prepping and visualizing data
• Experience in related programming languages, e.g. Python, Keras, Tensorflow, Pytorch, Scrapy, R, – experience in more than one language is a preferred
• Excellent organizational and communication skills, coupled with the ability to adapt to new conditions, assignments and deadlines
• Knowledge of marketing, market research, and economics
About Us At Revere, we discover stories and craft them into integrated campaigns. From fresh startups to continual innovators, our enterprise and consumer tech clients share the courage to lead despite disruption and uncertainty. Revere helps clients fight for the future. With a close-knit team whose skills span earned, owned, social, paid media and research, Revere is rooted in communications and always pushing at the edges of marketing and digital experiences. Revere is a DJE Holdings, Inc. company. Find us at revereteam.com, on Twitter and LinkedIn.
Job
: Research and Analytics
Primary Location
: United States-New York
Job Type
: Experienced
Schedule
: Full-time
Job Posting
: May 11, 2020, 12:53:50 PM",3.4,"United Entertainment Group
3.4","New York, NY","New York, NY",51 to 200 employees,2007,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"BBDO, Grey Group, Droga5",40.7127753,-74.0059728,unspecified,119,188,New York, NY,153.5
Data Scientist,$119K-$188K (Glassdoor est.),"CompuGain is an Information Technology and Business Consulting firm providing project-based solutions, software solutions and professional staffing services. Position Sr Data Scientist Location Woodlawn, MD Length through Sept 28, 2020 with possible extension Position Description Looking for a Data Scientists to assist with new work within a data science division. Our candidates truly need a hybrid skill set to successfully contribute in data science projects. In addition to data analysis, we need people that also have strong IT technical skills, predictive modelling skills, specialized modelling and research methods backgrounds and given our frequent work on client business processes, optimization and simulation skills. Duties and Responsibilities Experience translating high-level project requirements into technical tasks. Data manipulation and data engineering experience involving structured and unstructured data. Data manipulation expertise involving data extractions, data matching between multiple systems, transformations, cleansing, and loading. Experience with big data and cloud platforms and toolset. Ability to engineer and create complex research datasets by manipulating typically large volume transactional data for use by operations research analysts, economists and statisticians in advanced analytical research and studies. Experience in developing predictive, prescriptive, optimization, and forecasting models, including the use of contemporary techniques such as support vector machines, neural networks, and gradient boosting. Experience in interpreting results from statistical and mathematical models. Experience in advance data visualizations and interpretation. Required Qualifications Bachelor's degree and 7+ years of experience OR Master's degree and 3+ years of experience Experience in R, Python, or SAS (preference) for complex data manipulation, statistical analysis, and machine learning. Experience with Forecasting, Time Series Analysis, statistical modeling, etc. SQL (preferable in distributed environment, e.g. Greenplum, Apache Hawq). Experience with data visualization tools (e.g., Tableau, Bokeh, D3) or elastic stack (Kibana). Experience with modern machine learning libraries, including Keras, TensorFlow, PyTorch, MXNet, or MADlib. Experience using peer-collaboration tools, e.g., Confluence. Experience using GIT or other version control systems. Natural Language Processing (NLP) experience a plus Thanks Regards Preetham Anaparthi Talent Acquisition Specialist CompuGain 12901 Worldgate Drive, Suite 510, Herndon, Virginia 20170 703.552.8935 direct 703.956.7073 fax preetham.anaparthicompugain.com",4.0,"CompuGain Corporation
4.0","Gwynn Oak, MD","Herndon, VA",201 to 500 employees,2000,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,39.3359385,-76.6977522,unspecified,119,188,Gwynn Oak, MD,153.5
Data Engineer,$119K-$188K (Glassdoor est.),"Now Hiring a Data Engineer

Ability to maintain a Secret Clearance Required

As a Data Engineer, you will use cutting edge cloud and data technologies to streamline services to our clients. Join our team of Data and Cloud professionals and accomplish what others only dream of. A Secret Clearance is required. Must be able to commute to Reston, VA or Austin, TX. If Remote traveling up to 50% is required.
Ability to apply your skills in Azure Cognitive Services, Azure PaaS, data science, data analytics, and data warehousing to pioneer Azure cloud and data services within the DoD, bringing Azure Data Factory to IL4 & IL5.
Work in a team using cutting edge technologies to solve challenging business problems and build solutions
Interact directly with our client(s) to understand their needs and meet, or exceed their expectations by meeting delivery deadlines
Work in an agile environment with participation in daily stand-ups/scrum
Design, write, test, troubleshoot, and document application code
Provide mentorship to junior developers
Learn new technologies and be aware of industry standards, best practices, and trends.
Profile of Success
Bachelor's degree in a related field and 6+ years of experience
Deep knowledge of data ingestion strategies and understanding of the V-dimensions of data (velocity, volume, variety, veracity)
Extensive experience with the Azure storage technologies (Azure Data Lake, Azure SQL Data Warehouse, Azure SQL Database)
Extensive experience with Azure data movement and transformation capabilities (Azure Data Factory, Data Lake Analytics, Data Bricks, Stream Analytics)
Proven experience developing Big Data solutions in the Azure space
SQL Server 2014+ experience.
Comfortable with Microsoft SQL data technologies (SSAS/SSIS/SSRS)
Proven ability to work with clients to understand requirements and envision data ingestion solutions
Possess DoD 8570 security certification
Desirable Skills
Microsoft related certifications such as the MCSD/MCSE
Experience with Hadoop-based technologies (HDInsight, Spark, Hive, Pig, Scala, etc.)
Experience with visualization tools such as Power BI or Tableau",4.4,"Applied Information Sciences
4.4","Washington, DC","Reston, VA",501 to 1000 employees,1982,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,38.9071923,-77.0368707,unspecified,119,188,Washington, DC,153.5
Senior Data Engineer,$119K-$188K (Glassdoor est.),"Our Data Warehouse team is looking to add a Senior Data Engineer to their team. A qualified applicant will have 5-7 years of experience in a Data Engineer position; as well as a background in supporting data transformation, data structures, metadata, dependency, and workload management. Expert experience with Talend and SQL is highly desired.

Here's what you can expect from the job and what you need to be successful:

Job Duties
Create and maintain optimal data pipeline architecture
Assemble large and complex data sets to meet functional/non-functional business requirements
Build a data pipeline infrastructure for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL, cloud based relational, and/or non-relational databases employing Talend and/or scripting languages like Perl/Python
Identify, design, and implement internal process improvements, including automating manual processes, optimizing data delivery, and re-designing infrastructure for greater scalability
Work with key stakeholders, including members of the executive, product, data and design teams to assist with data-related technical issues and support data infrastructure needs
Create data tools for analytics and data scientist team members that assist in building and optimizing data integration platform to serve credit union business data needs
Partner with data and analytics experts to ensure greater functionality of data integration platform
Follow established configuration/change control processes
Identify options for ETL, data, and data warehouse potential solutions and assess for technical and business suitability
Essential Skills
5-7 years of experience in a Data Engineer or similar position
Minimum 3 years of developing ETL processes using Talend, including the processing of NoSQL and JSON formats
Talend experience is a requirement
Advanced working knowledge in employing Talend tool to build robust data pipelines. Talend certification is preferred
Advanced working knowledge in scripting languages, including Perl/Shell& Python
Advanced working SQL knowledge and experience working with relational/non-relational databases, query authoring (SQL), and excellent SQL troubleshooting skills
Experience performing root cause analysis on internal and external data and processes to respond to specific business questions and identify opportunities for improvement
Experience in building processes to support data transformation, data structures, metadata, dependency, and workload management
Experience in working with an agile project management environment
Exposure to basic issues in working within a Cloud (Azure/AWS ) environment
Experience in building data pipelines in a Big Data environment
Excellent problem solving and critical thinking skills with the ability to carry out assigned tasks with limited oversight
Superb verbal and written communication skills
Bachelor’s degree in Business Administration, Computer Science or other related fields of study or equivalent work experience. Experience in financial services industry is preferred
Location: San Jose, CA 95134

First Tech may consider Visa sponsorship for this position,but only for existing H1B (no new).

HP123",3.3,"First Tech Federal Credit Union
3.3","San Jose, CA","San Jose, CA",1001 to 5000 employees,1952,Company - Private,Banks & Credit Unions,Finance,$100 to $500 million (USD),-1,37.3382082,-121.8863286,senior,119,188,San Jose, CA,153.5
Health Data Analyst/Developer,$119K-$188K (Glassdoor est.),"Health Data Analyst/Developer
Freedman HealthCare (FHC) specializes in health care performance measurement and improvement, health information technology, and strengthening linkages between public health and health care reform. Through our national work with state health organizations and policy makers, FHC is committed to creating a more efficient health care system. FHC is seeking an experienced Health Data Analyst/Developer to join our team at Freedman HealthCare.
Analytical skills
Understand specific focus on health care claims and eligibility data
Help clients define critical business reporting strategies by reviewing, analyzing and documenting business processes and user needs
Develop, test, implement, and maintain reports in various formats (flat, drillable, graphic, charts, dashboards, KPIs) drawn from inter and intra application data stores and made available through various methods
Transform ad hoc and manual processes into sustainable, repeatable, scalable, and automated solutions
Provide strategic advice on using technology to achieve goals
Develop data visualizations and dashboards in Tableau, PowerBI, BusinessObjects, or other comparable tools
Exceptional critical thinking and problem-solving skills
Technical capabilities
Familiar with databases, data architecture and data modeling concepts and methodologies (e.g. Kimball vs. Inman; relational vs. dimensional models)
Understand concepts of master data management
Experience with extract, transform, load (ETL)
Proficient with business intelligence/data visualization tools, such as Tableau, Cognos, Power BI, etc.
Develop complex/multi-data source queries
Develop complex SQL queries and reports
Strong Microsoft Excel skills, including pivot tables, ODBC or other direct connections to data warehouses (macros, conditional formatting, complex formulas)
Translate high-level design into specific implementation steps
2-5 years’ experience, preferably with health care claims data in a complex analytic and reporting environment. Excellent verbal and written communication skills required.
Experience with SQL is required. In addition, R, Python and Visual Basic knowledge is a plus
Bachelor’s degree in a related field required.
Location: Newton, MA (work must be performed on site; no remote possible)
To apply for this position, please contact Joanne Halpern at hr@freedmanhealthcare.com. Interested candidates should reply with BOTH a thoughtful cover letter with salary requirements and a resume.",5.0,"Freedman Healthcare
5.0","Newton, MA","Newton, MA",1 to 50 employees,2005,Company - Private,Consulting,Business Services,$1 to $5 million (USD),-1,42.3370413,-71.20922139999999,unspecified,119,188,Newton, MA,153.5
Data Scientist,$119K-$188K (Glassdoor est.),"Overview


Do you love numbers and finding the story in the numbers? Does the thought of tackling a complex data issue make you smile? Have you got a knack for solving problems? Do you want to help drive the results of a multi-million dollar business? If you have answered ""yes"" to these questions, the Data Scientist position at Strategic Financial Solutions may be the right fit for you.

Strategic is looking for an experienced Data Scientist with statistical and machine learning experience to join our Data Science Team, which produces models for prescriptive and predictive analytics. The person in this role would be responsible for conducting data analysis and developing predictive models by leveraging data science and machine learning to solve various business use cases, including marketing intelligence, customer segmentation, and predictive models for operations.

This is a great opportunity for someone who wants to learn all aspects of business as he/she will support our product, sales, leadership and marketing teams with insights gained from analyzing company and external data.

Candidates must have strong experience in a variety of data manipulation tools, data analysis/ mining methods to build and implement models and should be able to develop algorithms and simulation methods. A successful candidate will have the proven ability to drive business results with their data-based insights.

Responsibilities
Research and develop statistical and machine learning methodologies to solve complicated business problems
Work with stakeholders to identify opportunities by leveraging large data sets to drive business decisions. Collaborate with sales, marketing and senior executive teams for model development
Strong communication skills and ability to clearly present ideas and technical findings to key decision makers
Qualifications
Knowledge of statistical and machine learning techniques in regressions and classifications such as generalized linear models, classification trees, Random Forest, XGBoost, SVMs etc. Industry experience in such areas a definite plus.
Knowledge of stochastic process in terms of transaction matrix and equilibrium distribution, etc.
Experience in R, Python, and SQL, etc. and in variable selection and dimension reduction skills such as LASSO and PCA
Strong problem-solving skills with an emphasis on financial risk management in sales and marketing predictive analytics
Unsupervised learning experience such as k-means, hierarchical clustering, Bayesian network etc.
Excellent written and verbal communication skills for coordinating across teams
Graduate degree in Statistics, Data Science, Applied Math, Operations Research, Computer Science or other areas in STEM. Exceptional candidates with undergraduate degree will be also be seriously considered.
About Strategic:

Strategic Financial Solutions is a leading consumer finance company that specializes in helping people that have too much credit card debt. We were recently named the 21st Best Company to Work for in New York by Best Companies to Work For and have been certified as a Great Place to Work 4 times. Additional honors include being named, two times, as one of the 50 fastest growing companies in New York City and to the prestigious Inc. 500 list as one of the 500 fastest growing companies in the United States.

Please mark @talent.icims.com as a safe sender to ensure recruiter emails don't go to spam",3.9,"Strategic Financial Solutions
3.9","New York, NY","New York, NY",501 to 1000 employees,2007,Company - Private,Consumer Product Rental,Consumer Services,Unknown / Non-Applicable,"National Debt Relief, Freedom Financial Network",40.7127753,-74.0059728,unspecified,119,188,New York, NY,153.5
"Associate Scientist, Technical Operations",$119K-$188K (Glassdoor est.),"We are seeking an Associate Scientist in Technical Operations. The Associate Scientist will support activities related to the optimization of existing products/processes and implementation of new product launches and process changes to support existing products. This individual will support the process of exploring and evaluating project feasibility with an emphasis on technology requirements, facility compatibility, and compliance issues. The Associate Scientist will focus on continuous improvements in terms of process, cost, quality, and production of both existing and future product lines.

About the Role:
Designing studies under instruction, executing experiments and data analysis to support GMP investigations, manufacturing change controls and to reduce re-occurring deviations
Facilitates technology transfer from process development to GMP for new product introductions, exploring modifications of existing processes, execute process development protocols
Develops process documentation and training materials for new processes, materials, and equipment
Conducts activities related to the development of new processes, evaluating process cost, quality, and capability alternatives, and performing process under limited supervision
Functions as technical role and resource/consultant to others
Support of development of new product/processes, continuous improvement, testing, new equipment, new technologies and manufacturing process development
Work on multiple concurrent engineering/R&D projects while ensuring their success in meeting respective objectives and timelines
About You:
Bachelor's degree in science required
2-4 years of relevant biologics manufacturing experience
Experience with supporting validation in a GMP environment is preferred
Why Join Aldevron?
You want meaningful work.We are in a landmark moment in the history of life science, and Aldevron is at the center of it.
You want to plant your career in a growing company.We are growing fast.We have limitless opportunities for people who are ready to roll up their sleeves and jump in.
You are excited to learn every day. At Aldevron, no day is the same. Our team comes to work ready to learn and overcome new challenges with teamwork and a passion to make lives better.
Your talents, ideas, and passion are essential to our success. Join us today!

Job Posted by ApplicantPro",3.6,"Aldevron
3.6","Fargo, ND","Fargo, ND",201 to 500 employees,1998,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),-1,46.8771863,-96.7898034,unspecified,119,188,Fargo, ND,153.5
Data Scientist,$119K-$188K (Glassdoor est.),"Hello All, Please find the below requirement details Position Data Scientist Location Basking Ridge, NJ Minneapolis, MN Duration 6+ Months Location Basking Ridge, NJ Minneapolis Duration 6 Months+ Pay Rate 80hr on C2C Remote until COVID ends, needs to sit onsite after COVID ENDS Skill set is TIger GRAPH GRAPH SQL GRAPH DB Job Details Number of Projects. Building a Graph Database Project systems. Building backfill Javascript Node, React JS, sitting on a meteor framework Android and IOS App When they come up with an idea, building out POCrsquos for them to see if it works. This is with Human Capital Quickly switch projects Work with our development team Code Standards and Code Reviews Day-today Responsibilities Everything is brand New development Building out these POCrsquos Testing and Support and Development. Full end to end Very Heads down POCrsquos on average last 3-4 months, they typically scratch the project Required Skills Javascript Node JS React Object Orientation Sharp, doesnrsquot have years of experience Need to understand reality of business world",4.5,"System Soft Technologies
4.5","Basking Ridge, NJ","Tampa, FL",201 to 500 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),-1,40.7066174,-74.5493284,unspecified,119,188,Basking Ridge, NJ,153.5
Data Scientist,$119K-$188K (Glassdoor est.),"ECS is seeking a Data Scientist to work in our Aberdeen, MD office. Please Note: This position is contingent upon contract award.

Job Description:
Provide expert enterprise experience as a Data Scientist, mining and analyzing data from various sources to drive decision support and improvement of organization strategies. The ability to assess the effectiveness and accuracy of new data sources/attributes and data collection techniques. Working with structured and unstructured data to prepare in-depth analysis, this includes the normalization and canonicalization of data to ensure consistent inputs. Introduce validation and reporting techniques to ensure the veracity of data. Developing custom data models and algorithms to apply to data sets and extract additional insights. Providing expertise in exploratory data analysis, pattern discovery, and advanced analytical techniques.

Evaluate methods to thwart adversarial attacks of cyber defenses. Your expertise will assist in determining the existence and identification of vulnerabilities in current machine learning algorithms for visual (facial/object) identification, spoofing biometrics, data poisoning, etc. In your role, you will be crucial in identifying potential weaknesses and counter-measures to defeat the exploitation.

Required Skills:
TS/ SCI Clearance
Must be a U.S. Citizen
Masters' Degree in Computer Science, Cyber, Information Technology, Mathematics, Physics, Engineering,
or similar discipline with 6-8 years of experience
or Bachelors Degree with 8-10 years of experience.
5 years’ experience mining and analyzing data
At least 1 year of experience with AI security research problems (adversarial examples, data poisoning, model inversion, etc.)
At least 1 years of machine learning experience
At least 2 years of experience with researching deep neural network techniques
At least 3 years of cyber security experience
At least 1 year of experience with machine learning techniques other than neural networks
At least 1 year of experience with large-scale data engineering projects
At least 1 year of biometric spoof detection (facial, fingerprints, etc.)
At least 1 year of cyber-attack forecasting
Be prepared to provide publications and/or presentations to demonstrate your communication skills
ECS is an equal opportunity employer and does not discriminate or allow discrimination on the basis of race, color, religion, gender, age, national origin, citizenship, disability, veteran status or any other classification protected by federal, state, or local law. ECS promotes affirmative action for minorities, women, disabled persons, and veterans.

ECS is a leading mid-sized provider of technology services to the United States Federal Government. We are focused on people, values and purpose. Every day, our 3000+ employees focus on providing their technical talent to support the Federal Agencies and Departments of the US Government to serve, protect and defend the American People.",3.5,"Electronic Consulting Services, Inc.
3.5","Aberdeen, MD","Fairfax, VA",1001 to 5000 employees,2000,Company - Public,IT Services,Information Technology,$500 million to $1 billion (USD),"Booz Allen Hamilton, Leidos, Deloitte",39.5095556,-76.16411970000001,unspecified,119,188,Aberdeen, MD,153.5
Diversity and Inclusion Data Analyst,$119K-$188K (Glassdoor est.),"Position Summary


The D&I Data Analyst will be responsible for the development of various management, Board of Directors (Board) and Federal Housing Finance Agency (FHFA) reports, including in-depth data analytics, quality reviews and control development, to support the development and execution of strategic objectives. The role will report to the Senior Director of the Office of Diversity and Inclusion and support the operational functions of the Office, including the Bank’s Diversity and Inclusion Leadership Committee, and supporting councils and employee resource groups.

Primary Success Factors


The D&I Data Analyst will demonstrate the ability to:
Assist in the preparation and submission of timely and accurate quarterly and annual reports to FHFA while collaborating with departments to gather and analyze information.
Review and provide recommendations regarding proper controls and procedures to ensure the integrity of the reports; identify opportunities for continuous system and process improvements and lead the development of supporting processes.
Perform in-depth data analytics, including quantitative, statistical and comparative analysis, to determine patterns and recognize trends; prepare a variety of reports and presentations for management, the Board and FHFA.
Translate data into written reports, tables, graphs and charts (including developing creative data visualizations to illustrate key findings); interpret data results to provide written commentary that articulates pertinent findings.
Support the development and refinement of performance metrics to evaluate the effectiveness of activities supporting the Bank’s Diversity and Inclusion Strategic Plan; perform ad-hoc analysis to enhance understanding of identified metrics.
Conduct research to provide insight on Bank’s performance trends and identified target ranges using publicly available industry and FHLBank system data; serve as a liaison to FHFA, the FHLBank System and other external data analysts specializing in diversity and inclusion.
Support operational functions of the Office including, but not limited to, Committee administrative support, coordination of communication materials, organization of exam-related document requests, D&I training, pulse surveys or focus groups, and annual review of policies and procedures.
Required Experience
Bachelor’s degree in business, economics, statistics or related field
Three years of related experience with strategic initiative project management, process and performance improvement, data analytics and reporting metrics
Experience in diversity and inclusion in the financial services industry is a plus
Highly proficient with Microsoft Office products; experience with Tableau or other data visualization tools
Proven track record with strong written and oral communication, analytical skills, data visualization and project management skills; high level of attention to detail and accuracy; ability to routinely manage large data sets
Strong interpersonal skills, self-motivated, and a demonstrated ability to multi-task and work independently while collaborating effectively at all levels of the Bank
It is the policy of the Federal Home Loan Bank of Pittsburgh to ensure equal employment opportunity (EEO) for all employees and applicants for employment without regard to race, religion, color, sex, national origin, age, disability status, genetic information, veteran's status, ancestry, sexual orientation or status as a parent as defined by applicable law. It is the Bank's policy to comply with applicable laws concerning the employment of persons with disabilities, including reasonable accommodation for applicants and employees with disabilities.",3.7,"FHLBank Pittsburgh
3.7","Pittsburgh, PA","Pittsburgh, PA",201 to 500 employees,1932,Company - Private,Banks & Credit Unions,Finance,$1 to $2 billion (USD),-1,40.44062479999999,-79.9958864,unspecified,119,188,Pittsburgh, PA,153.5
Senior Data Engineer,$119K-$188K (Glassdoor est.),"Company Description

Paying the right way, getting paid what you’re worth — it’s complicated, and it matters. Compensation used to be a dark art. Not anymore. PayScale helps employers and their employees understand the right pay for every position and effectively communicate about compensation.

PayScale pioneered the use of crowd-sourced compensation data and unique matching algorithms to power the world’s most advanced compensation platform and continues to be the compensation market leader.

We foster a working environment that generates new ideas, promotes ownership and experimentation and encourages highly motivated individuals to be truly creative. Are you forward-thinking, tenacious, and inventive? If so, PayScale may be the perfect place for you to grow your career!

Job Description

Does empowering teams to make data driven decisions excite you? Do you wake up in the morning wondering what possibilities could be unlocked with more data? PayScale is looking for a seasoned engineer to join the data engineering team. The Data Engineering Team focuses on making possible fast, accurate, and reliable access to data. We build data pipelines, manage a data warehouse, and support the productization of our data. We advocate for good data practices and make sure that the many PayScale teams are able to make good data driven decisions.

Technologies We're Using
For Data Warehousing and Reporting we use Snowflake, Spark, Tableau, and PowerBi
For ETL and pipelining we use, Matillion, Python, Team City, AWS Lambda,
In addition to the above, we also use c#, docker, Azure Web Apps, AWS ECS, Dynamo, SQL, Elasticsearch, Postgres, and Octopus
In this role, you will:
Manage the Data Warehouse.
Interface with the various teams who need access to data including (Data Science, Data Analytics, Application Engineering Teams, Sales and Customer Facing Teams).
Research and advise on modern data engineering techniques.
Build and support tools and services for the management and productization of our data.
Recommend and implement tools and technology to support PayScale's data needs.
Qualifications
You have 5+ years experience in data warehousing and data engineering.
You have previous experience with python and snowflake.
You have built ETL systems.
You have a firm grasp on data modeling methodology.
You have experience writing custom web services.
You have worked with event sourced systems.
You have familiarity/experience with unit testing and crafting testable code.
You are able to explain technical concepts to developers, project managers, and technical managers.
You have the ability and desire to work with a team of people solving complex problems that often require independent research with minimal supervision.
You have excellent problem solving and critical thinking skills.
Additional Information

Benefits & Perks – The Highlights:
Flexible Paid Time Off policy
10 paid holidays
Amazing Medical/Vision/Dental/Prescription coverage: 100% company-paid premiums for employees; 50% for eligible partners and dependents
Flexible Spending Account (FSA) options for pre-tax employee allocations towards: Medical, Dependent Care, Parking, and Transit
Long Term Disability, Short Term Disability, and Company-paid Life Insurance
Strong Maternity and Paternity Leave benefits, and multiple onsite Mother’s Rooms
401k which vests immediately, complete with company match
Onsite bike storage, lockers, showers, and clothes dryer
Ergo friendly chairs and sitting-standing desks
Company-hosted happy hours every Friday afternoon
Fido Fridays (our canine colleagues join us the first Friday of every month. WOOF!)
Equal Opportunity Employer: PayScale provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, gender, sexual orientation, national origin, age, disability, genetic information, marital status, amnesty, or status as a covered veteran in accordance with applicable federal, state and local laws. PayScale complies with applicable state and local laws governing non-discrimination in employment in every location in which the company has facilities.",2.8,"PayScale
2.8","Seattle, WA","Seattle, WA",201 to 500 employees,2002,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Salary.com, Payfactors",47.6062095,-122.3320708,senior,119,188,Seattle, WA,153.5
