,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
563,Product Designer,$94K-$187K (Glassdoor est.),"Location:
Detroit, MI

Job Terms:
Permanent

Posted By:
Dove Ryan

Date:
02/26/2020

Job Description:

In this role, you’ll own the design for assigned projects and lead a team of Service & Interaction Designers and Visual Designers. You’ll shape all aspects of Service Design at the project level and contribute to growing and evolving the Design Practice within the design team.

Responsibilities
Oversee and sometimes contribute to design research activities to gain a deeper understanding of user experiences and needs and to help develop insights that inform our service design.
Lead design team through projects, holding yourself and team accountable for outcomes that are aligned with the projects’ creative and strategic objectives.
Oversee and contribute to development of design and communication artifacts that align with, and clearly articulate, the Design team’s strategy and practice objectives.
Develop and maintain productive partnerships with business leaders through regular and transparent communication and expert consultation.
Grow and develop team members through regular performance feedback discussions and career coaching.

Requirements:


Requirements
At least seven years of relevant industry experience, including four or more years of leadership experience.
Bachelor’s degree in related field.
Proficiency with design applications such as Photoshop, Illustrator, InDesign, Sketch, InVision. Video editing and prototyping software experience is a plus.
Extensive knowledge of service design and design practices and ability to drive user-centered design in a corporate environment.
Understanding of difference design disciplines, such as design research, interaction design, visual design, content design.
Experience creating journey / experience maps, service / interaction models and flows and wireframes.
Understanding of prototyping, from lo-tech methods to digital.
Ability to quickly come up-to-speed on project tracking software like JIRA and Confluence.
Ability to lead a diverse, cross-discipline team of professionals with a focus on professional development.",3.9,"Aquent
3.9","Menlo Park, CA","Boston, MA",1001 to 5000 employees,1986,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
564,Senior UX Designer--AWS Connect Team,$94K-$187K (Glassdoor est.),"Company Industry: Technology
Opportunity: The Mom Project is helping to source candidates for the above client who is looking for a Senior UX Designer--AWS Connect Team
Commitment Level: 40 hours per week, on-site

The Mom Project is partnering with AWS to transform and enhance their world-class Cloud Platform by adding more talented & passionate women to their growing Amazon Connect Team. Whether you're looking to return after a career break or just eager to work for an employer that supports working parents, our amazing partnership is dedicated to diversifying one of the most influential tech organizations in the world. AWS is committed to supporting and integrating their employees from day one through unrivaled benefits, comprehensive training and career-enhanced goal setting.

The AWS Connect team is growing and looking for a Senior UX Designer who leads by doing, values diversity of thought and background, has a passion for solving problems at massive scale and brings their best self to work every day. You will improve, iterate, and reimagine the product experience to shape the next generation of AWS software. You will also partner with a wide variety of internal and external customers to craft a modern, elegant BI experience for one of the fastest growing areas of software.

Who Are You?
You have an “anything is possible” mindset when faced with highly ambiguous and complex problems.
You’re proud of your work, your skills and expertise – but you’re not cynical, inflexible.
You love being part of a highly collaborative and high-energy team that isn’t afraid to swing for the fences or exceed expectations even on tactical projects.
You have a deep background in complex data products, geek out over customer experience, visualization and machine learning and believe that no experience is perfect unless it delights customers in unexpected ways.
You have demonstrated design acumen and believe in the power of strategic design to differentiate experience and increase customer loyalty.
You are an influencer who doesn’t hold your ideas as precious and who iterates quickly, based on data, and delivers recommendations and analysis that tell the story of the customer experience we are delivering.
You have a proven track record of inventing and simplifying elegant information architectures that make the complex feel simple to the end user.

What Will You Accomplish?
You will be responsible for leading a variety of design initiatives across a brand new suite of features.
You will work alongside product management, product/visual/interaction design, and engineering to define and build the essential lovable product.
You understand how to have deep customer focus, the ability to dive deep and invent, and the ability to make hard decisions fast.
You will contribute to the design of useful, usable, and desirable products in a team environment
You will create user-centered designs by considering market analysis, customer feedback, and usability findings

BASIC QUALIFICATIONS
· 5+ years of experience as a user experience designer, interaction designer, information architect, or similar role
· 3+ years of experience designing for mobile, voice, web and web based devices
· Bachelor's degree in design, human-computer interaction (HCI), or 6+ years equivalent professional experience

PREFERRED QUALIFICATIONS
· Experience designing user interfaces for data visualization or data insight products.
· Experience designing for mobile, touch, voice and web.
· Ability to prototype in HTML, JavaScript, and CSS etc.
· Visual design expertise demonstrated through mockups and style guides
· Excellent communication, presentation, and interpersonal skills
· Experience working in a collaborative team and working directly with developers for implementation of designs
· Meets/exceeds Amazon’s leadership principles requirements for this role
· Meets/exceeds Amazon’s functional/technical depth and complexity for this role Experience with a variety of design tools such as Sketch, Invision, XD, Photoshop, Illustrator, Fireworks etc.
· A portfolio or samples of work demonstrating experience creating user-centered design solutions
· Fluency in best practices for web-based information architecture and design, as well as strong knowledge of usability principles and techniques
Apply today for the potential to redefine your career at one of the world's most
innovative companies with a defined commitment to building a diverse and inclusive
workforce.",4.9,"The Mom Project
4.9","New York, NY","Chicago, IL",1 to 50 employees,2016,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
565,Associate Communications Designer,$94K-$187K (Glassdoor est.),"The Group: Morningstar brings inspired problem solvers together with one goal in mind—to help investors reach their financial goals. At our core, we’re one of the world’s top investment research and data companies. But where we set ourselves apart is how we use that data and research to serve a diverse range of users. Our investment data and research enable us to deliver analytics and insights with a purely independent view, and then we leverage the latest in technology and design to deliver an array of solutions that best meet our users’ needs. This foundation of research, data, technology and design uniquely positions us to provide a more complete set of services to investors all around the world—ultimately helping people make better decisions about their money, or the money they manage for millions of people all over the world.

The Team: The Morningstar design team is dedicated to creating thoughtfully-designed financial products and services so that people across the world can make the best investing decisions for themselves and their clients. We synthesize complex financial information into experiences that empower our users to deliver better outcomes. We do this by not only creating the look and feel of a product, but also driving product direction: prioritizing the biggest opportunities to support our users and the business, while maintaining a strong sense of product ownership and its resulting success. The design organization is made up of several disciplines—visual, UX, communications, content, and research—united to help each other, and the whole company, grow. We’re always seeking designers who are motivated, are driven to deliver user-centered outcomes, and are equally committed to craft and compassion.

The Role: Morningstar is looking for an Associate Communications Designer for our Marketing group, specifically focused on developing marketing communications and experiences to support our professional software offerings. In this role you’ll help us express our differentiated brand and capabilities story through compelling digital campaigns and websites, print collateral and presentations, and live events with prospects and customers. Communications designers at Morningstar collaborate with other designers, content professionals, product marketing professionals, the brand team, and our technology and business partners to craft impactful customer interactions that drive brand engagement, elevate awareness of our products, and provide support for sales and client interactions.

This position is based in our Chicago office.

You’ll be great at:
• Conducting conceptual explorations that inform the creative direction and drive thoughtful design solutions, while also ensuring the successful implementation of concepts in real-world application in consideration of production constraints and techniques
• Making informed design decisions around typography, composition, color, and other visual elements that support a delightful, engaging experience, while reinforcing the Morningstar brand
• Solving challenging information and communication design problems and being able to present multiple concepts for consideration, with sound rationale
• Understanding current trends in digital design and bringing fresh thinking to your solutions
• Creating high-fidelity prototypes and other artifacts that communicate design direction and executional considerations
• Participating in creative workshops, user testing, and market research activities that help inform the direction of marketing initiatives and campaigns

We’re looking for someone who’s:
• Skilled in both visual and conceptual design, with a strong understanding of typography, color, illustration, and photography
• Able to execute design solutions through all mediums with an emphasis on digital experience design and multimedia
• Eager to master complex information, and can translate that information in a way that drives effective story-telling
• Deeply collaborative and can bring the right players together to solve creative problems
• A curious self-starter who isn't afraid of ambiguity, or constraints
• Open to feedback and knows how to defend design decisions
• Continuously striving for better ways of communicating and learning
• Comfortable with a fast-paced work environment
• Able to bring energy to a team and keep things positive

Basic Qualifications:
• Bachelor’s degree
• 1–3 years of experience designing for brand and marketing communications

Preferred Qualifications:
• Bachelor's degree in graphic design or equivalent experience/training in the graphic arts.
• Strong knowledge of Sketch, Invision, Adobe Creative Suite, Microsoft Office Suite, and Mac OS X
• Excellent communication skills, both written and oral
• Knowledge of HTML and CSS

How to apply:
Include a link to your online portfolio or attach pdf samples along with your resume.

Morningstar is an equal opportunity employer.",4,"Morningstar
4.0","Chicago, IL","Chicago, IL",5001 to 10000 employees,1984,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),"Thomson Reuters, FactSet, Bloomberg L.P."
566,CAD Drafter / Designer,$94K-$187K (Glassdoor est.),"CAD Drafter / Designer - Columbia, MD

Job Details
Level
Entry
Job Location
MD - Columbia - Columbia, MD
Position Type
Full Time
Travel Percentage
Negligible
Job Overview
Advantage Engineers is seeking an entry level, full-time AutoCAD Drafter/Designer to create AutoCAD drawings of telecommunication facilities. This position is expected to operate as a part of the team, receive and provide peer review for work product and will report directly to the Project Manager.

The duties to produce engineering drawings and can include the following abilities and skills:
Proficiency with AutoCAD.
Computer proficiency, including Microsoft Office programs.
Ability to manage multiple projects with changing priorities.
Ability to read and understand engineering drawings and documents.
Ability to review and complete redlines.
Possess problem solving and organizational skills.
Experience / Requirements
Formal CAD education from trade school (or equivalent).
High School Diploma
Valid Driver’s License
The availability to work overtime as needed per project demands and staffing levels.
Preferences:
Experience with outside plant and inside plant fiber optic design.
Ability to perform field survey and permit application tasks when cross-training opportunities arise.
Basic knowledge of civil, electrical, mechanical and/or structural disciplines",3.5,"Advantage Engineers
3.5","Columbia, MD","Columbia, MD",201 to 500 employees,2010,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),"KCI Technologies, Earth Engineering"
567,Learning Experience Designer,$94K-$187K (Glassdoor est.),"Title: Learning Experience Designer (Contract to hire)

Location: Hamptons, NY

Start date: July/August 2020

ABOUT AVENUES: THE WORLD SCHOOL

Avenues is on a mission to change the world through education. Founded in 2010 with the vision of becoming one school with many campuses, Avenues now has physical campuses in New York, São Paulo, Shenzhen, and a virtual campus, Avenues Online. Together, these campuses form one transformative, interconnected learning community preparing students to become engaged global citizens and worldwise leaders.

Avenues Hamptons joins this global community in the fall as the first of its kind: a studio campus.

AVENUES HAMPTONS

Our first studio campus, located in the heart of the Hamptons, establishes a new model of secondary education by combining our transformative, world-focused academic program with exceptional one-on-one mentoring, flexible scheduling, and personalized learning experiences in our unique, state-of-the-art studio facilities.

THE OPPORTUNITY

As a Learning Experience (LX) Designer, you will help launch a new campus and establish a new model of secondary education. LX Designers partner directly with the Head of Studio to mentor students, build community, execute day-to-day operations, and design authentic, relevant, and personalized learning experiences for each student.

WHAT WILL YOU DO?
Foster students' belonging and wellbeing
Build meaningful, positive, and individual relationships with middle and upper grades students
Support and counsel students as they explore academic, emotional, and social challenges or concerns
Facilitate small-group advisories and community building activities
Design transformative learning experiences
Collaborate directly with the Head of Studio and students to co-create, coach, and oversee student-directed projects and initiatives
Build relationships with local businesses, non-profits, and government agencies to identify real needs around which to engage students in meaningful partnerships and design projects
Help create a culture of student-centered learning
Provide general administrative support to the Head of Studio
Communication: assistance with newsletters, memos, and other school communications
Scheduling: assistance with creating and coordinating schedules, meetings, and events
Site Operations: assistance with the supervision of spaces, daily routines and safety procedures, ordering and supplies, etc.
WHO ARE WE LOOKING FOR:

We are looking for candidates who bring:
Understanding of and empathy for the social-emotional needs of adolescents
Desire to be a part of building a new school and a new approach to learning
Ability to collaborate, navigate ambiguity, and overcome challenges within a startup environment
Expertise or experience with one or more of the following:
Design thinking, social innovation, systems thinking
Service learning and/or social justice and advocacy work
Sustainability, outdoor education, and/or environmental studies
Social-emotional learning, counseling, and/or K-12 teaching
A bachelor's degree or equivalent
WHAT WE OFFER:
Contract-to-hire position for one semester converting to FTE based on performance
Unparalleled career growth opportunities across multiple campuses around the world
The thrill of a start-up and the opportunity to build things from scratch, all within an organization with global resources and supports, and a proven track record of results
Frequent feedback, ongoing coaching and top-notch, job-embedded professional learning
A beautiful, uplifting, student-centric school environment
A chance to change the world of education as part of a global community spanning three continents
TO APPLY:

Learn more about Avenues on our website (www.avenues.org) and LinkedIn (https://www.linkedin.com/company/avenues-the-world-school/). Apply through the Careers section of the Avenues website (http://www.avenues.org/en/careers/).",3.3,"Avenues: The World School
3.3","East Hampton, NY","New York, NY",501 to 1000 employees,2011,School / School District,K-12 Education,Education,$25 to $50 million (USD),-1
568,Architectural Project Designer,$94K-$187K (Glassdoor est.),"LPA is seeking a passionate Project Designer | Architecture to join our integrated team of architects, engineers, interior designers, landscape architects and master planners. As a participant in our uniquely collaborative design process, you will work hand in hand with colleagues across disciplines on a wide variety of innovative, sustainable projects. Our award-winning projects aim to have a positive and enduring environmental, economic and social impact.
Project Designer| Architecture Experience:
Bachelor’s or Master’s Degree in Architecture required
10+ years of experience in all phases of architectural projects
Architectural license required
Project Designer| Architecture Requirements:
Proficiency of CAD, SketchUp and Adobe Creative Suite is required. Strong knowledge in Revit is preferred.
Strong conceptual design ability and advanced graphic presentation skills
Enthusiastic commitment to the multidisciplinary design process and team environment
Strong written and verbal communication skills: articulate, engaging and motivating
Inspire quality throughout the entire project process
Project Designer| Architecture Responsibilities:
The Project Designer will work in unison with the Project Architect and Project Manager to lead the project design and support the Design Director in developing innovative design solutions
Prepare presentations and documentation in the programming and schematic design phase with the pursuit of the final client approval
Develop and create design solutions with the client and team in support of the LPA brand
Work on research for product and construction methods related to projects
Mentor-ship from Design Directors and Managing Directors
LPA is an integrated design firm with offices in California and Texas. We specialize in creating innovative, sustainable environments that work better, do more with less and improve people’s lives. We provide a vibrant and rewarding work environment—one that values and fosters creativity, collaboration, critical thinking, community engagement and ongoing career development and growth. LPA is also committed to diversity, wellness and work-life balance. LPA offers competitive salaries and generous benefits, including health and dental insurance, retirement and financial, wellness and other work/life plans.

NOTICE TO RECRUITMENT AGENCIES AND RECRUITERS:
Please note that LPA does not accept unsolicited resumes from recruiters or employment agencies. In the absence of a signed contract, LPA will not agree to pay any recruiter fee. In the situation an agency or recruiter submits a candidate or resume without a previously signed agreement and/or without LPA’s request, LPA explicitly reserves the right to hire those candidate(s) without any financial obligation to the recruiter or agency. Any unsolicited resumes, including those submitted to hiring managers, are deemed to be the property of LPA.",3.3,"LPA, Inc.
3.3","San Jose, CA","Irvine, CA",201 to 500 employees,1965,Company - Private,Architectural & Engineering Services,Business Services,$25 to $50 million (USD),-1
569,Architectural Designer,$94K-$187K (Glassdoor est.),"Title: Architectural Designer II / Job Captain

Role Description:
DPS is a multi-national Architectural/Engineering firm specializing in technical facilities for the Pharmaceutical, Biotech and Micro-electronics industries. We are seeking an experienced Architectural Designer with a proven track record to join our Framingham, MA team supporting our growing work load for US operations.
The successful candidate will work directly with the project architect and DPS internal teams on projects of all scales. Primary responsibilities will include supporting the design and planning process for multi-faceted production facilities and the production and coordination of architectural construction documents under the direction of the Architectural Department Manager. DPS seeks a person with a strong architectural background and a minimum of 5 to 7 years of architectural work experience. Documented biotech/biopharm and/or R&D laboratory design experience preferred. Some familiarity and experience with FDA/EU cGMP guidelines is a definite advantage. Additional qualifications include Bachelors of Architecture or Masters of Architecture degrees, and proficiency in Revit and AutoCAD. Candidates on a track to become registered are preferred. This position requires strong organizational, communication and personal management skills.
Responsibilities:
Provide architectural design leadership for varied projects and client base. Implement the development of preliminary presentations and construction documentation.
Coordinate design issues with the in-house engineering team.
Participate in company initiatives for quality control and ISO 9000 certification.
Work with clients, contractors and local officials under the direction of the project architect to coordinate construction issues.
Research building materials and coordinate into project specifications.
Mentor junior designers in computer aided drawing, code research, product research, and construction document creation, drawing and detailing.
Must work collaboratively and effectively within a team.
Must have excellent written and communication skills.
Must be proficient in Revit, Photoshop and Power Point.
Must be design-oriented with excellent graphical skills.
Must have strong knowledge of assembling contract documents.
Knowledge and understanding of applicable building codes.
Strong knowledge of constructability and detailing.
Must be well organized, engaged, flexible and self-motivated.
Must have the ability to multi-task, collaborate on projects, and work well under deadlines.
Education and Experience:
Arch. / M.Arch degree with 5+ years of architectural experience. Biotech/biopharm and/or R&D laboratory design experience preferred.
On-track for Architectural registration.
Must have strong knowledge and experience with Revit and AutoCAD. Sketch-up, and other 3-D software experience a plus
Good report and technical writing skills desired with proficiency in Microsoft word, excel and power point.
Experience with aspects of biotech and pharmaceutical industries a definite plus.
Demonstrating good interpersonal skills, attentive and approachable.
Maintains a professional and productive relationship with clients and co-workers.
Bachelor’s Degree or Master’s Degree in Architecture Required.",2.7,"DPS Group Global
2.7","Framingham, MA","Cork, Ireland",501 to 1000 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$5 to $10 million (USD),-1
570,Mechanical Designer,$94K-$187K (Glassdoor est.),"Mechanical Designer

Rogers, AR

Primary Functions:

The primary purpose of this position is to design and draft detailed dimensional drawings and ensure conformance to specifications/customer requirements.

Education and/or Experience Qualifications:

Broad knowledge of such fields as computer-aided design, manufacturing, accounting, marketing, business administration, etc. Equivalent to a four year college degree, plus 3 years related experience and/or training, or equivalent combination of education and experience.

Position Responsibilities:
Recognize and implement improved processes and best practices.
Design for, and oversee product manufacture, employing JIT techniques.
Produce drawing packages and sets to be submitted to customers, manufacturers, and field crews.
Balance cost, weight, complexity and versatility of designs as requested.
Communicate with appropriate parties – internal and external - as needed, including seeking new projects and opportunities.
Stay updated on industry news and trends, products, services, competitor and information relevant to the industry.
Develop and maintain supplier relations including reporting use of conflict materials in order to guarantee competitive pricing and compliance.
Record new products, parts, and assemblies in the master Bill of Materials and regularly update manufacturer part numbers and pricing.
Build quotes for customers and cost estimates for PMs, and maintain the Quotation Calculator based on the BOM.
Attend trade shows, other similar events, and job sites as a representative of BNSFL and provide technical support.
Oversee purchase of all components necessary to fulfill fixture POs, and track component inventory levels.
Oversee assembly of products and ensure lead times are met.
Provide training and direction to other members of the Design Team and ensure they are equipped with the necessary tools and knowledge for the task.
Perform any other related duties as required or assigned.
Disclaimer

The above statements are intended to describe the general nature and level of work being performed by people assigned to this classification. They are not to be construed as an exhaustive list of all responsibilities, duties, and skills required of personnel so classified. All personnel may be required to perform duties outside of their normal responsibilities from time to time, as needed.

BNSF Logistics offers competitive benefit programs and services including, but not limited to:
Competitive pay
Comprehensive health benefits package
401(k) plan with employer match
Flexible spending account
Company paid life, short-term and long-term disability insurance
Employee discounts on autos, travel, electronics, insurance, etc.
Tuition assistance
Professional training staff with an industry leading Learning Management System
Company culture that recognizes its employees
ABOUT BNSF Logistics:

BNSF Logistics is an industry-leading transportation intermediary, committed to providing value to each of our customers through professional acumen, entrepreneurial drive, and individual commitment. We are one of the fastest growing 3PLs in North America and pride ourselves on service flexibility and modal breadth. BNSF Logistics is an indirect, wholly owned subsidiary of Burlington Northern Santa Fe LLC.

Our Purpose: We Deliver What Matters

Our Guiding Principles:
Protect the well-being of ourselves and others
Drive innovation and embrace transformation
Respect and serve everyone
Keep our commitments
Celebrate and enjoy the journey
Foster a collaborative and inclusive community
BNSF Logistics is an Equal Opportunity Employer that is committed to diversity, and values the ways in which we are different. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, veteran status, or any other status protected by law.",4.2,"BNSF Logistics
4.2","Rogers, AR","Flower Mound, TX",501 to 1000 employees,2002,Company - Private,Logistics & Supply Chain,Transportation & Logistics,$100 to $500 million (USD),-1
571,Senior Brand Designer,$94K-$187K (Glassdoor est.),"Brand design is what Squarespace is known for. We go to great lengths to ensure every touchpoint of the product and brand are as beautiful and impactful as possible.

As a modern creative organization, we hire aesthetically-driven designers who have a strong process that can be applied across a range of deliverables. Our Brand Designers help define and execute brand identities, marketing campaigns, brand partnerships, and content creation. Successful candidates should have a portfolio that demonstrates familiarity with most of these types of projects, as well as the ability to maintain an overarching brand aesthetic across channels. This is an opportunity to join the founding team in Squarespace's new creative outpost. You will report to the Creative Director in our Los Angeles office.

QUALIFICATIONS
6+ years of experience as a designer at agencies, studios or in-house.
Strong understanding of steps necessary to take a project from concept to launch.
Broad awareness of design and technology trends.
Interest in mentoring more junior designers to help elevate their work.
Proficiency in Adobe Illustrator, InDesign, Photoshop, Figma as well as Sketch.
Experience with Keynote, prototyping tools, 2D and 3D motion, or video editing are a plus.
About Squarespace

Squarespace makes beautiful products to help people with creative ideas succeed. By blending elegant design and sophisticated engineering, we empower millions of people — from individuals and local artists to entrepreneurs shaping the world’s most iconic businesses — to share their stories with the world. Squarespace’s team of more than 1,000 is headquartered in downtown New York City, with offices in Dublin and Portland. For more information, visit www.squarespace.com/about.

Benefits & Perks
Health insurance with 100% premium covered for you and your dependent children
Flexible vacation & paid time off
Up to 20 weeks of paid family leave
Equity plan for all employees
Retirement benefits with employer match
Fertility and adoption benefits
Free lunch and snacks at all offices
Education reimbursement
Dog-friendly workplace in New York office
Commuter benefit in the form of reduced tax (Ireland) and pretax (US)
Today, more than a million people around the globe use Squarespace to share different perspectives and experiences with the world. Not only do we embrace and celebrate the diversity of our customer base, but we also strive for the same in our employees. At Squarespace, we are committed to equal employment opportunity regardless of race, color, ethnicity, ancestry, religion, national origin, gender, sex, gender identity or expression, sexual orientation, age, citizenship, marital or parental status, disability, veteran status, or other class protected by applicable law. We are proud to be an equal opportunity workplace.",3.4,"Squarespace
3.4","Los Angeles, CA","New York, NY",1001 to 5000 employees,2003,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,GoDaddy
572,Designer,$94K-$187K (Glassdoor est.),"Location:
Boston, MA

Job Terms:
Temporary

Start date:
05/04/2020

Posted By:
Luisiana Cruz

Date:
04/29/2020

Job Description:

* This position is ONSITE with the client, will be remote IN BOSTON, during Covid19 Isolation orders, but will be oniste 100% once there is clearence. Only Local GREATER BOSTON canddiates will be considered. Non- Local candidates need not apply.*

Production Designer, Brand | Creative | Events
Creative | Events is looking to add a Production Designer to their in-house team. The Brand | Creative | Events team is part of the larger Corporate Marketing department and as such supports across its 15+ products and brands. You’ll work collaboratively with other Creatives, Brand Strategists and Project Managers and work on a wide range of projects and initiatives.
Responsibilities and expectations:

Play a critical role in production, design and editing across collateral development, digital and print advertising, corporate communications and identities, social assets and trade-show deliverables
Manage multiple projects while consistently producing top quality work
Develop strong, productive relationships with designers, writers and project managers
Buy in and play an active role in promoting a culture of innovation and teamwork
Actively contribute to creating a fearless, accountable, collaborative, open and thriving environment

What an ideal fit looks like:

You’ve graduated with a Bachelor’s in Graphic Design or another relevant field
Your portfolio shows a strong foundation in graphic design and advertising
You have a strong working knowledge of the Adobe CC Suite (specifically AI, ID, PS)
You’re well versed in layout design, typography and the digital and print file production-ready process, as well as logo/identity development and photo manipulation
Possess strong design thinking skills and ability solve design problems
You’re a pro. You manage your creative time well and are used to pivoting back and forth across projects
You’re confident about establishing yourself as a production expert
You pride yourself on your killer work ethic and positive attitude
Others describe you as eager, a great communicator and good listener
You’ve got a clear understanding of overarching branding fundamentals
You have 2-4 years of professional experience in a similar role and are ready to take the next step

Brand books/guidelines experience a plus
Packaging experience a plus
Animation experience a plus
PowerPoint design experience a plus",3.9,"Aquent
3.9","Menlo Park, CA","Boston, MA",1001 to 5000 employees,1986,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,-1
573,Production Designer,$94K-$187K (Glassdoor est.),"About us

Boxy Charm was founded in 2013 and continues to be a leader in the beauty subscription box industry experiencing immense growth of more than 100% year over year. We work with some of the hottest brands including Butter London, Dr. Brandt, Elemis, GlamGlow, Smashbox, Tarte, Too Faced and many more.

Today, Boxy Charm has a community of more than 2.4 million followers across its social media platforms, 10 million monthly visitors online and is the #1 searched beauty box brand on YouTube. Inc magazine named it as one of the fastest growing companies in the nation. Boxy Charm is headquartered in South Florida and has an office in Toronto, Canada.

About you

The BoxyCharm creative team is looking for a talented entry-level designer who would like to gain production design experience in a fast-paced, agile environment. He/she has high attention to detail, thorough knowledge of the Adobe suite of products, a demonstrated portfolio of design application, and the ability to deliver high-quality work within short timelines.

This position is based in South Florida and candidates must be able/willing to work onsite (in-office) 2-3 days per week and be available remotely when not in office for real-time requests.

Essential Duties and Responsibilities
Collect, prep, resize, and track product images to support monthly and quarterly e-commerce stores
Efficiently resize or modify existing designed assets and images to support testing functionality across digital and printed platforms
Support consumer insight surveys by collecting and compositing product images
Develop designs to support events, seasonal campaigns, and brand partnerships
Accurately follow and maintain file organization guidelines
Act under the leadership of the creative design manager to develop high-quality design and preserve existing design principles and brand integrity
Clearly and efficiently communicate with creative design manager, creative project manager, creative director, and other key members of the creative team
Education and/or Experience
Demonstrated ""eye for design"" and proven record of application of basic design principles
Thorough understanding of Adobe suite including Photoshop, InDesign, and Illustrator. Experience or familiarity with After Effects, a plus.
Exceptional time management skills; ability to self-manage to priorities and timelines, follow direction, and balance multiple projects
Strong written and verbal communication skills
Keen attention to detail with ability to self-check for errors and inconsistencies",3.3,"Boxy Charm
3.3",United States,"Pembroke Pines, FL",51 to 200 employees,2013,Company - Private,Beauty & Personal Accessories Stores,Retail,Unknown / Non-Applicable,Birchbox
574,Senior Product Designer,$94K-$187K (Glassdoor est.),"AbleTo is the leading provider of high quality, technology-enabled behavioral health care. AbleTo believes that everyone deserves access to high quality care, and offers a suite of technology-enabled services to empower people to lead better lives through better mental health. A proprietary platform connects individuals with AbleTo highly trained licensed providers who deliver weekly sessions by phone or video supported by an integrated digital experience. Members also have access to mental health coaches, and digital support programs. Clinical best practices are leveraged across all services to ensure individuals are getting the care they need. Our outcomes-focused care is proven to improve depression and anxiety by over 50% on average, as demonstrated in several peer-reviewed studies. For patients with high cost medical conditions, our clinically-tailored treatment is proven to reduce medical costs with care that empowers the patient to address their health needs. AbleTo partners with payers to make high-quality care accessible, affordable and convenient for millions of people to get the treatment they need.
You are a mission driven product designer, passionate about creating experiences that can directly improve the lives of millions of people. You are a tireless advocate for AbleTo’s various users - those suffering from anxiety and depression, the therapists and coaches who support them, and our internal teams that power the system. You care deeply about creating seamless and consistent experiences and you are an advocate for the power of design to solve real problems for real people.

Collaborate with product to define product vision and design scope of work
Guide the design process and share out your work across a cross functional team of stakeholders
Mentor and lead others throughout the product development process
integrate digital experiences with human services and systems grounded in human-centered design
Help to shape the design culture at AbleTo by working with other designers to build a strong practice, communicating design value and solutions across the org, and leading cross functional product development teams in designing best in class solutions.
*Please note this job description is not designed to cover or contain a comprehensive listing of activities, duties or responsibilities that are required of the employee for this job. Duties, responsibilities, and activities may change at any time with or without notice.

Experience:
5+ years as a Product Designer
Nice to have: Experience in mental health or healthcare
Follow AbleTo on LinkedIn and Twitter!
AbleTo is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status. AbleTo is an E-Verify company.
Upon the acceptance of an offer to enter into this agreement, AbleTo requires the satisfactory completion of reference and background checks and successful completion of drug testing in accordance with local, state and federal laws.",4.4,"AbleTo
4.4","New York, NY","New York, NY",51 to 200 employees,2008,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),-1
