Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,job_simp,company_txt,Seniority,Minimum Estimate,Maximum Estimate,City,State,BS Required,AvgSalary,same_state,company_age,python_yn,java_yn,javascript_yn,c/c++_yn,html/css_yn
Software Engineer III,$80K-$103K (Glassdoor est.),"Valorem Reply is seeking a senior level Software Engineer with a passion for using technology to engineer solutions that creatively solve problems to deliver business value. Qualified candidates will have a robust background developing modern software applications. The role requires a broad and deep capability to map a client's problem domain to a fully developed end state solution. Our clients’ needs require technically strong consultants who are resourceful, communicate well, and have good problem solving skills. The successful candidate will have a solid understanding of modern application development techniques and frameworks and good experience using the Microsoft technology stack for development. As part of a team that provides project based consulting, you will have the opportunity to work in multiple industry verticals, working on multiple teams and projects.
As a Software Engineer you will be part of a team of talented developers, business analysts, QA analysts and Project Managers building solutions for Fortune 500 and Fortune 1000 Clients. You will participate in the development life cycle including development, testing, and implementation. You will work hand-in-hand with the Business Analysts and Project Managers to understand the business requirements and build a software solution. As a Software Engineer you will have the opportunity to work on a multiple projects with talented Architects and Engineers, learning and implementing solid development practices.
Required Skills:
Strong experience (5+ years) with C#. Development, diagnosing and debugging. Including:
Classes, Interfaces, Delegates and Events
Generics, Anonymous methods and lambda expressions
Exceptions, transactions and error handling
.NET Framework 3.5 and higher
Strong experience (3+ years) with web service development (WCF, WebAPI)
Some experience (3+ years) with Entity Framework and LINQ
Experience developing web based interfaces.
ASP.NET Web Forms and MVC
JavaScript. jQuery or other frameworks. AJAX and single page applications.
HTML4, HTML5, CSS3
Experience with Microsoft Azure, including:
Cloud Services (web roles and worker roles)
SQL Azure, BLOB and Table storage
Service Bus, Queues and Topics
Azure Management, including deployments, configuration and the SDK
Strong understanding and implementation of software design patterns, including:
Basic OO concepts such as encapsulation and abstraction
SOLID principals such as single responsibility, dependency injection and interface driven design.
Strong experience (3+ years) with database development in SQL Server 2008 R2 or higher, including:
T-SQL
Tables and Views
Procedures and Functions
Strong knowledge and experience with software modelling and diagramming
Reference Architecture
Use Case, Process Flow, Call Chain diagrams (UML or other)
Entity Relationship diagrams
Logical layer, physical layer diagrams
Strong experience with Team Foundation Server, including source control, build and task management
Proficient with common office applications, including: MS Office 365 (Word, Excel, Outlook, Lync)
Creativity, capacity and a conviction to innovate and deliver best-in-class solutions
Strong collaboration skills, works well with ambiguity, works well across roles and groups
Ability and willingness to take the initiative to facilitate teamwork and serve the client needs first
Interested in learning new technologies, creative, open-minded and a great team player
Ability to instrument, profile, debug, and optimize server and client code to resolve complex issues with distributed systems
Adept at task switching to handle varying workload, while meeting tight deadlines
Bachelor's Degree in Computer Science or Equivalent Experience",3.7,"Valorem Reply
3.7","Kansas City, MO","Kansas City, MO",201 to 500 employees,2009,Company - Private,Consulting,Business Services,$25 to $50 million (USD),Unknown,Reg,"Valorem Reply
",unspecified,80,103,Kansas City, MO,yes,91.5,Yes,11,No,Yes,Yes,No,Yes
Lead Application Developer,$80K-$103K (Glassdoor est.),"Lead Application Developer
Location


IL - Chicago

Functional Area


Technology

Employment Status


Regular

Apply Now

About Press Ganey

Press Ganey pioneered the health care performance improvement movement more than 30 years ago. Today, Press Ganey offers an integrated suite of solutions that enable enterprise transformation across the patient journey. Delivered through a cutting-edge digital platform built on a foundation of data security, Press Ganey solutions address safety, clinical excellence, patient experience and workforce engagement. The company works with more than 33,000 health care facilities in its mission to reduce patient suffering and enhance caregiver resilience to improve the overall safety, quality and experience of care.

Essential Duties and Responsibilities:

This role is for a Senior Application Developer role located in our Chicago, IL office. The primary responsibilities of this position are to participate in the design, development, support and administration of both production and development databases. Other responsibilities include:
assisting in the creation of the enterprise database architecture, designing databases to meet software requirements, analyzing performance requirements, testing and evaluating new database features and technology.
Will lead and direct the work of others.
Database Design
Collaborate with software development and business teams to establish database requirements.
Identify and plan for database performance requirements.
Assist in the design of the enterprise database architecture.
Database Implementation
Collaborates with software development and business teams to create and execute implementation.
Identify impact of implementation on other applications and databases.
Lead and oversee database development teams on database projects.
Database Administration
Oversee disaster recovery planning and implementation.
Review database configurations and layouts.
Database Support
Coordinate issue resolution process.
Mentors Database Developers
Lead a team of database developers.
Responsible for the quality of work that team members perform.
Coordinate with other IT and business teams.
Train other developers on standards, policies and procedures.
Core Competencies:
Listed below are the core competencies required for this position.
The right candidate will have demonstrated knowledge of the relational model and normal form as well as data warehousing and ETL methodologies.
The candidate must have a solid background in data modeling and database and/or application architecture.
The candidate must also have significant experience with relationship databases such as DB2, Oracle and/or MS SQL.
DB2 experience is preferred but not required.
Candidate must be fluent in SQL and a scripting language such as Perl and/or Unix shell script.
Candidate will have good communication skills both verbal and writing; will be able to write technical documents that are cogent and accessible and will be a self-starter and a team player.
Education and Training Requirement:
The successful candidate will have a Bachelor’s degree in Computer Science or technical discipline.
A minimum of 5-8 years of IT experience with four years as a Database Administrator/Database Developer and three years as an Information Modeler/Database Architect is required.",4.1,"Press Ganey
4.1","Chicago, IL","South Bend, IN",1001 to 5000 employees,1985,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),Unknown,Reg,"Press Ganey
",senior,80,103,Chicago, IL,yes,91.5,No,35,No,No,No,No,No
Implementation Software Engineer,$80K-$103K (Glassdoor est.),"Apply

Description

We are seeking a creative, entry level Implementation Software Engineer to help design and develop complex marketing technology solutions. If you are passionate about building scalable, high performing, data centric cloud solutions, this is the right fit for you.

About QuickPivot:

QuickPivot is the premier Customer Data Platform (CDP) for multi-channel retailers. Our technology delivers end-to-end functionality and removes technology complexity, enabling marketers to know, target and engage customers in timely, personalized interactions that increases customers’ LTV. The QuickPivot CDP is backed up by a Services team laser-focused on one thing: client success.

Winner of several industry innovation awards, the QuickPivot platform enables marketers to deliver coordinated customer experiences across all channels, measure results in real-time, and refine marketing programs to improve results. As brands look for cost-effective ways to drive rapid campaign creation and execution, QuickPivot is emerging as the vendor of choice. That’s why clients like Orvis, Annie Selkie, Allen Edmonds, the NHL, and over 20 channel partners are turning to QuickPivot.

Job Description:

The Implementation Software Engineer is a reliable independent contributor, providing strong software development and data analysis capabilities to our customer and analytics teams. The individual is a supportive and collaborative team member, working to ensure client success while growing their own technical and client services capabilities. The Implementation Software Engineer is highly organized and dependable, managing multiple projects at once to ensure delivery dates are met and high-quality code is deployed. The individual can understand client business challenges and support the team in delivering scalable marketing technology solutions.

Responsibilities:
Design, develop, deploy, and enhance:
Data transformation pipelines for ETL
Integrated AWS cloud services (Lambda, S3, EC2, RDS, Step Functions, Cloudwatch, API Gateway, etc.)
System integrations and APIs
Data model schemas
Automation and logging processes
Follow code management and source control best practices
Deliver assigned tasks and projects with high quality, sustainable code
Communicate progress and escalate any issues
Participate in peer design and code reviews

Requirements

Software development experience with high level languages, such as Python, C#, or Java
Proficiency with database technologies and understanding of data warehousing concepts
Ability to work effectively independently and in a team
Strong written and oral communication skills
Strong analytical, conceptual, and problem-solving skills
Bachelor’s degree in Computer Science or related technical field


Desired:
AWS cloud experience, specifically with services referenced above
Experience with visualization technologies like Tableau
Understanding of distributed systems, i.e., Spark
Proficiency with Unix commands
Agile/Scrum experience


Come join our Burlington-based team on our mission to empower marketers to build customer journeys that help them find, win, manage, and retain customers across channels.

We are an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, notional origin, disability status, or any other characteristic protected by law. QuickPivot is unable to sponsor visas now or in the future.",3.3,"QuickPivot
3.3","Burlington, MA","Boston, MA",51 to 200 employees,2014,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),"Silverpop, Salesforce, Adobe",Reg,"QuickPivot
",unspecified,80,103,Burlington, MA,yes,91.5,No,6,Yes,Yes,No,No,No
Senior Software Engineer,$80K-$103K (Glassdoor est.),"Description

Senior Software Engineer (MS +3 years experience) that shares our enthusiasm for providing test infrastructure that enables reliable software and hardware testing.

At Xilinx, we are leading the industry transformation to build an adaptable, intelligent world. ARE YOU bold, collaborative, and creative? At Xilinx, we hire and develop leaders and innovators who want to revolutionize the world of technology. We believe that by embracing diverse ideas, pushing boundaries, and working together as ONEXILINX, anything is possible.

Our culture of innovation began with the invention of the Field Programmable Gate Array (FPGA), and with the 2018 introduction of our Adaptive Compute Acceleration Platform (ACAP), has made a quantum leap in capability, solidifying our role as the adaptable platform supplier of choice. From the start, we have always believed in providing inventors with products and platforms that are infinitely adaptable. From self-driving cars, to world-record genome processing, to AI and big data, to the world's first 5G networks, we empower the world's builders and visionaries whose ideas solve every day problems and enhance people's lives.

If you are PASSIONATE, ADAPTABLE, and INNOVATIVE, Xilinx is the right place for you! At Xilinx we care deeply about creating meaningful development experiences while building a strong sense of belonging and connection. We foster an environment of empowered learning, wellness, community engagement, and recognition, so you can focus on work that matters - world class technology that improves the way we live and work. We are ONEXILINX.
Senior Software Engineer
We are looking for an experienced software engineer that shares our enthusiasm for providing test infrastructure that enables reliable software and hardware testing. Our mission is to enable high quality software production through solid test infrastructure and best practices.

We are primarily a python shop but incorporate other technologies required to achieve our mission.

The ideal candidate will have the following attributes:
Experienced in the Python programming language
Fully self-sufficient in software development concepts and methods, coding, and debugging
Proactively engages with users to identify and deliver against new automation opportunities
Proactively identifies and delivers solutions that reduce development and support costs
Capable of developing a single project in its entirety
Demonstrates flexible adaptability in working with still maturing, generation-dependent software development and testing methods
Critically assesses product requirements in assigned area of responsibility with respect to feasibility and schedule and engages with stakeholders to iterate and refine
Executes independently to develop mock-ups or requirement prototypes for features of moderate to high complexity. Can effectively articulate these to relevant stakeholders
Enjoys working with users to educate and provide guidance in helping them to achieve their goals and to improve their productivity

Education / Experience:
BS with 5+ years
of experience or MS 3+ years of experience or PhD in Computer Science, Computer
Engineering, Electrical Engineering or related equivalent

Alternate Requirements:
Will also accept
Bachelor’s or foreign equivalent in Computer Science, Computer Engineering,
Electrical Engineering or related field and six (6) years of progressively
responsible experience in the job offered

Job Skills Requirements:
Must have work experience, coursework, project background experience in the
following:
Python Programming
Object Oriented Design
Linux Operating System / Command Line Interface
Bash Scripting
Windows Operating System
Testing Methodologies
Job Skills Desired:
ElasticSearch
Web Technologies
Mosquito/MQTT
Docker
Openstack/KVM

]]>",3.7,"Xilinx
3.7","San Jose, CA","San Jose, CA",5001 to 10000 employees,1984,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Qualcomm, Intel Corporation, AMD",Reg,"Xilinx
",senior,80,103,San Jose, CA,yes,91.5,Yes,36,Yes,No,No,No,No
Junior Software Engineer - TS/SCI Required,$80K-$103K (Glassdoor est.),"As a Junior Software Engineer at Synergist, you will work with a team of developers on a project critical to one of our customer’s needs. You'll be an active contributor on an agile software development team that leverages cutting edge technologies to deliver custom software solutions. You will design, develop, and test activities related to your assigned tasks and will be responsible for managing individual project priorities, deadlines and deliverables.

** Position Requires a Top Secret Clearance with a Full-Scope Polygraph**
Degree and Years of Experience
BS in Computer Science or a similar technical field of study and a minimum of 2 years of experience in software development/engineering.
Responsibilities
Be an active contributor on an Agile Software development team to deliver custom solutions to the customer.
Perform design, development, and testing activities related to assigned tasks.
Manage individual project priorities, deadlines and deliverables.
Minimum Qualifications:
Must be a U.S. Citizen.
Software development experience in one or more programming languages such as Java, Python, C++, Ruby.
Experience developing software within a Linux environment.
Experience working with any of the following: web/mobile application development, distributed systems, user interface development, big data analytics.
Excellent communication skills.
Passion for technology and the drive to learn new programming languages and frameworks.
Desired Qualifications:
We realize that we are about to enumerate a bunch of skills and experience here. Don’t worry if you don’t have all of these, but we’d like you to have touched some of these technologies or concepts or at least be familiar with them.
Experience with NoSQL technologies such as MongoDB, REDIS, Neo4J, etc.
Experience with Relational Databases such as MySQL, Oracle, POSTGres
Experience with developing RESTful Services using a framework such as Jersey, Spring MVC, CXF
Experience with an Enterprise Integration Framework such as Apache Camel, or Spring Integration
Experience with JMS to include messaging Frameworks such as Apache ActiveMQ or Apache Artemis.
Experience with Spring to include Spring Boot, Spring Data
Experience with the Java Persistence API through a persistence framework such as Hibernate, OpenJPA
Experience developing and deploying applications to Servlet containers such as Tomcat or Jetty or Application Servers such as Glassfish, JBoss, Weblogic
Experience developing Applications with NodeJS
Experience with JavaScript frameworks such as Ext-JS, AngularJS, Vue or React.
Experience with Javascript, Flex, JSP, HTML, CSS, SpringMVC, or equivalents for UI developers and Spring, Hibernate, JPA, Servlets or equivalents for Java developers
Experience developing web applications leveraging ES6 and component based packaging
Experience with Bootstrap framework.
Experience with JQuery
Experience with Hadoop and MapReduce
Experience developing applications within utility clouds such as AWS, Rackspace, or Heroku

Know anyone who may also be interested in a position with us? Refer them and receive a substantial referral bonus! https://synergistcomputing.com/referral",5.0,"Synergist Computing
5.0","Annapolis Junction, MD","Annapolis Junction, MD",51 to 200 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Unknown,Reg,"Synergist Computing
",junior,80,103,Annapolis Junction, MD,no,91.5,Yes,8,Yes,Yes,Yes,Yes,Yes
Software Engineer,$80K-$103K (Glassdoor est.),"At Torc, we have always believed that autonomous vehicle technology will transform how we travel, ship goods, and do business.

A leader in autonomous driving since 2007, Torc has spent over a decade commercializing their autonomous solutions with experienced partners. Now a part of the Daimler family, we are developing automated trucks to transform transportation.

Join us and take your career to new heights with a company that helped pioneer autonomous technology. You'll work with an experienced team of people who are committed to creating safer roads, and your contributions will have an impact on the future of transportation.

About the Role:

We're looking for software engineering professionals with expert-level skills in developing software written in modern C++. As a developer, you will work closely with a passionate team of engineers to advance the development of high-quality safety-critical software for self-driving vehicles.

As a software engineer on the Infrastructure & Tools team you will:
Design, build, test and maintain cross-platform C++ applications and libraries for self-driving vehicles.
Collaborate with teams specializing in perception, planning, control, mapping and vehicle testing to develop libraries and applications that support their development efforts.
Work on an agile development team in a fast-paced environment.
Responsibilities:
Creating reliable applications and libraries that are deployed on-vehicle for managing tests and system notifications.
Designing and implementing large-scale data analysis systems for logs collected from remote vehicles in the field.
Working with cross-functional teams to develop best practices for software development and quality assurance in compliance with existing standards.
Proactively identifying improvements to applications related to vehicle testing, data processing and log analysis.
Required Competencies:
Expert-level knowledge of Modern C++ 11/14
CMake and static analysis tools
Continuous integration/Continuous delivery concepts and tools
Troubleshooting skills (real-time and in-depth analysis)
Performance metrics and analysis
Test automation principles and design
Preferred Competencies:
Python development experience
Database experience (PostgreSQL, Redis,)
Containerization and virtualization (Docker, KVM, VirtualBox)
Configuration management (Ansible, Chef)
Experience working with industrial coding standards such as MISRA, AUTOSAR, etc.
Qualifications:
Bachelor's or Master's Degree in Computer Engineering, Computer Science, or related technical field
2+ years of experience in Industry or Graduate School
Perks of Being a Torc'r

Torc cares about our team members and we strive to provide benefits and resources to support their health, work/life balance, and their future. Additionally, we are always open to suggestions to accommodate individual employee needs. Torc offers:
Full coverage of monthly medical premiums for full-time employees
Medical/dental/vision/ AD+D and Life Insurance
401K plan with employer matching
Annual learning and development stipend
Leadership development training
Collaborative, energetic, and team-focused work environment
Flexibility in schedule and generous paid vacation",4.7,"Torc Robotics
4.7","Blacksburg, VA","Blacksburg, VA",51 to 200 employees,2005,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),Unknown,Reg,"Torc Robotics
",unspecified,80,103,Blacksburg, VA,yes,91.5,Yes,15,Yes,No,No,Yes,No
Senior Software Engineer,$80K-$103K (Glassdoor est.),"Are you passionate about technology and staying up-to-date on industry trends? Do you consider yourself an advocate for change and eager to step outside your comfort zone? As a Senior Software Engineer, you will be a crucial member of our agile team, working with innovative tools, processes and people to engineer web applications that are distributed and consumed on a massive scale.

What you’ll do:
As part of a SCRUM team, you will provide technical direction for and be a key contributor to the development of new features that allow our users to engage with their customers
Collaborate with Product Management, UX, Architects and Senior members of the development team to find the best technical solutions
Be part of the creation of a long-term, scalable architecture
Writing markup that is consistent across all browsers and platforms, understanding of cross-browser compatibility issues and ways to work around them
Subject matter expert of fluid and responsive layout, browser behavior and compatibility, and cross-device issues and solutions
Who you are:
6+ years developing and writing large scale performant front-end web applications
Expert knowledge of Javascript (including ES2015)
5+ years of experience working with modern Javascript frameworks, React is preferred as well as experience with jQuery and Bootstrap
Experience writing UMD modules (AMD/RequireJS, CommonJS, or ES2015)
Comfortable with build tools such as npm, Webpack, Bower and Grunt
Exposure witt Protractor, RSpec or equivalent integration testing frameworks
Experience with unit testing and test driven development
AWS is a plus
Why you'll love us:
It’s all onsite. We have dry cleaning, a barber shop, a full service cafeteria, an even Boston Sports Clubs (at a discounted rate for our fitness fanatics!). Get your errands done before you even hit your desk in the morning.
Abundant fun. Golf Club, kickball and softball leagues, Mario Kart and bubble hockey tournaments, three wheeler races, and Friday beer cart - there’s a way for everyone to let loose.
Local pride. We’re wicked proud, which means when any of our teams - Bruins, Patriots, Red Sox, Celtics, and Revolution - kick off their season, you can bet there’s going to be a party to cheer them on. Go ahead and wear your jersey to work.
Dine al fresco. Our gorgeous patios make for rejuvenating lunch and coffee breaks.
We have a nine foot T Rex, but he’s friendly. On your first day, keep a lookout for our informal mascot - a giant T Rex, who roams the office, squatting with a new team every now and then.
It’s super easy to get here. We offer a subsidized shuttle from the Alewife T stop if you prefer public transportation, and we have plenty of free onsite parking, too.
We’ve got you covered. From 401k, generous PTO, tuition reimbursement, casual dress code and excellent medical, dental, and vision - we’re there for you!",3.6,"Constant Contact
3.6","Waltham, MA","Waltham, MA",Unknown,1995,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Drip, iContact, Mailchimp",Reg,"Constant Contact
",senior,80,103,Waltham, MA,no,91.5,Yes,25,No,Yes,Yes,No,No
Software Engineer,$80K-$103K (Glassdoor est.),"Software Engineer

Who we are:

Galileo is one of the largest payments processors and program managers in North America. We are the only payments innovator that applies tech and engineering capabilities to empower FinTech and financial institutions to unleash their full creativity to achieve their most inspired goals. Galileo leads its industry with superior fraud detection, security, decision-making analytics and regulatory compliance functionality combined with customized, responsive and flexible programs to accelerate the success of all payments companies and solve tomorrow's payments challenges today. We hire passionate, creative people. We focus on education, health, outdoor living, and our company values. The result-highly energetic and dedicated co-workers, and a highly productive, engaging, and a comfortable work environment.

What we are looking for:

We are looking for smart, creative, talented software engineers. If this is you and you have experience building real-time, high-performance, transactional, backend applications in Python or C, then I want to meet with you.

If you are looking for a place to learn new skills and work in an environment where you contribute directly to the success of the company, and you want to have direct input into the future and designs of the applications you build, and you want to work on a team of likeminded creative and talented engineers, then you should want to meet with us.

What you'll be doing:
Create solid high performing server applications for payment processing.
Design, code, debug and test backend programs/database applications using C, Python, and SQL.
Provide insight and expertise in improving existing programs
What you will need:
Broad based programming skills
Thorough knowledge of general computer science
Experience with C programming, Python, RDBMS, SQL, Linux and Oracle
Strong understanding of relational database concepts
Excellent technical aptitude and ability to solve problems
Ability to work in a quick-paced, evolving environment.
Positive attitude and exceptional work ethic
Ability to collaborate with others within the organization
Bachelor's degree in Computer Science or equivalent degree or experience
Galileo has a very competitive compensation and benefits package including medical, dental, tuition reimbursement, a 401k match, education assistance, life insurance, and long term disability with the opportunity to purchase other benefits.

Job Posted by ApplicantPro",3.6,"Galileo Financial Technologies
3.6","Salt Lake City, UT","Salt Lake City, UT",201 to 500 employees,2001,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"Marqeta, FIS, i2c",Reg,"Galileo Financial Technologies
",unspecified,80,103,Salt Lake City, UT,yes,91.5,Yes,19,Yes,No,No,No,No
Senior Software Engineer - Azure,$80K-$103K (Glassdoor est.),"Requisition Number: 77243

As a Cloud Engineer at Insight Enterprises, you will enter a tech-savvy and high-energy world. We're engaged in a larger infrastructure project with a customer in Cincinnati, OH and we've identified a need for a Cloud Engineer to join the team and help migrate the new system into an Azure environment.

This will be a 6+ month contract role that has potential to extend.

What you will be doing:
Develop Architectural patterns, building blocks, capability models, reference architecture and reference implementations that are readily deployable.
Contribute to automating the build and deployment of software and application services on cloud platforms
Build, and support a portfolio of reusable cloud components, services and interfaces for the enterprise
Hands-on coding of IaC scripts and automated patterns
Experience in open-source and agile methodologies based on modern software engineering practices
Works on multiple projects as a technical lead or internal consultant
Advise teams on architecting, designing and deploying scalable, fault-tolerant, enterprise cloud solutions to public cloud platforms
Design for security and compliance
Identify gaps in the current architecture and develop solutions in support of our cloud first approach
Collaborate with engineering, product owners, PMs, and Ops resources to provide technical experience on cloud deployments and operations
What we're looking for:
Previous experience managing virtual infrastructure (VMware, Citrix, etc.) not necessarily only cloud specific or development-only experience
Extensive experience with deployment of applications in public cloud on Microsoft AZURE.
5+ years of experience in one of the following: software design/development, infrastructure/systems management, or enterprise architecture
Technical skills in Java or Spring Boot or GO, ect. as well as CI/CD tools would be a plus (but not required)
Extensive experience with deployment/automation/management tools such as Jenkins, Puppet, Ansible, Chef, Docker, Terraform, K8s
Experience building RESTful services and APIs would be a plus
Experience and knowledge of domain-driven design, microservices architecture and Agile development
Understanding of network elements such as firewalls, load balancers, DNS, NAT, TLS/SSL
Nice to have:
Any relevant Certifications are a plus.
The position described above provides a summary of some the job duties required and what it would be like to work at Insight. For a comprehensive list of physical demands and work environment for this position, click here.

Today, every business is a technology business. Insight Enterprises, Inc. empowers organizations of all sizes with Insight Intelligent Technology Solutions™ and services to maximize the business value of IT. As a Fortune 500-ranked global provider of digital innovation, cloud/data center transformation, connected workforce, and supply chain optimization solutions and services, we help clients successfully manage their IT today while transforming for tomorrow. From IT strategy and design to implementation and management, our 11,000 teammates help clients innovate and optimize their operations to run smarter. Discover more at insight.com.
Founded in 1988 in Tempe, Arizona
11,000+ teammates in 21 countries providing Insight Intelligent Technology Solutions™ for organizations across the globe
$9.2 billion in revenue in 2018*
Ranked #430 on the 2019 Fortune 500, #14 on the 2019 CRN Solution Provider 500
2019 Adobe Americas Partner of the Year, 2019 Cisco Global-Americas Partner of the Year, 2019 Intel IoT Solutions Partner of the Year, Microsoft U.S. Azure Partner Choice Award for Data/AI, Microsoft Azure Expert Managed Services Provider
Ranked #23 on the 2019 Fortune 50 Best Workplaces in Technology, #70 on the 2019 Fortune 100 Best Workplaces for Diversity, and #7 on the Phoenix Business Journal 2019 list of Best Places to Work (Extra Large Business)
Signatory of the United Nations (UN) Global Compact and Affiliate Member of the Responsible Business Alliance
* Proforma to include PCM, Inc. for fiscal year ended Dec. 31, 2018

Today's talent leads tomorrow's success. Learn about careers at Insight: jobs.insight.com.

Insight is an equal opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, sexual orientation or any other characteristic protected by law.

Posting Notes: Cincinnati || Ohio (US-OH) || United States (US) || None || None || US - Cincinnati, OH ||",4.1,"Insight Enterprises, Inc.
4.1","Cincinnati, OH","Tempe, AZ",5001 to 10000 employees,1988,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),"CDW, PCM, SHI International",Reg,"Insight Enterprises, Inc.
",senior,80,103,Cincinnati, OH,no,91.5,No,32,No,Yes,No,No,No
"Junior R&D Software Engineer (Java, Python)",$80K-$103K (Glassdoor est.),"Responsibilities


Reporting to the program manager, as a software developer you will be designing solutions and implementing them to support customer missions. Working in a Research and Development (R&D) environment, you will receive tasking to push the envelope regarding what is currently possible with existing tools, technologies, and data to answer pressing questions. A collegiate environment at the core, this effort focuses on leveraging creativity to solve challenging problems.

If the thought of attacking challenging problems and utilizing your creativity in an R&D environment excites you, please don’t hesitate to become part of this successful team.

Qualifications


What you’ll do…
You’ll develop methods of analyzing and exploiting customer data to solve problems
You’ll work in a lab environment to leverage team experience and offer up your own insights
You’ll develop software components to meet customer requests
You’d be a great fit if…
You’ve spent 2-5 years working in Java/C++
You’ve spent 1-3 years working in JavaScript frameworks such as React
You’ve currently in possession of a TS//SCI clearance
You hold a Bachelor’s Degree in Computer Science, Computer Engineering or related field.
It would be even better if you…
Have 2-5 years of working in Python
Have modeling and simulation experience
Have experience/comfort with relational database design/implementation
Have experience working in a Linux-based environment
What you'll get...
An immediately-vested 401(K)
Rapid PTO accrual schedule and 10 federal holidays
Comprehensive medical, dental, and vision coverage
Tuition reimbursement
Cross-training and professional development opportunities
The ability to influence major initiatives
Where you’ll work…

Chantilly, VA

Why Peraton:

Are you ready to join the next-generation of national security? Peraton is a fresh name in the industry with an established portfolio and legacy going back more than a century. We work differently than our peers – with agility, the freedom to innovate, an entrepreneurial spirit and a culture of responsibility. As part of the Peraton team, you’ll be part of our movement to build a great company, solve the most daunting challenges facing mankind today, to protect and promote freedom around the world, and to secure our future, for our families, our communities, our nation, and our way of life.

We are an Equal Opportunity / Affirmative Action employer. All qualified candidates will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability, protected veteran status or any other factor protected by law.

About Peraton


At Peraton, we’re at the forefront of delivering the next breakthrough in national security, every day. We’re the partner of choice to help solve some of the world’s most daunting challenges. How? By thinking differently. We’re not mired in the past. We look at all problems with fresh eyes. We look past the obvious to bring the best talent, tech, and ideas together to completely transform how problems are solved. So bring your unique ideas, your entrepreneurial spirit, and your drive to succeed. Get ready to be part of something bigger. Get ready to do the can’t be done.",3.4,"Peraton
3.4","Chantilly, VA","Herndon, VA",1001 to 5000 employees,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),Unknown,Reg,"Peraton
",junior,80,103,Chantilly, VA,yes,91.5,No,3,Yes,Yes,Yes,Yes,No
Big Data Engineer,$80K-$103K (Glassdoor est.),"At SpringML, we are all about empowering the doers in companies to make smarter decisions with their data. Our predictive analytics products and solutions apply machine learning to todays most pressing business problems so customers get insights they can trust to drive business growth. We are a tight knit, friendly team of passionate and driven people who are dedicated to learning, get excited to solve tough problems and like seeing results, fast.

Your primary role will be to design and build data pipelines. You will be focused on designing and implementing solutions on Hadoop, Spark, Pig, Hive. In this role you will be exposed to Google Cloud Platform including Dataflow, BigQuery and Kubernetes so the ideal candidate will have a strong big data technology foundation and bring a passion to learn new technologies. If you believe you have these skills please email your resume to info@springml.com.

Required Skills:
4-7 years Python and Java programming
3-5 years knowledge of Java/J2EE
3-5 years Hadoop, Big Data ecosystem experience
3-5 years of Unix experience
Bachelors in Computer Science (or equivalent)
Duties and Responsibilities:
Design and develop applications utilizing the Spark and Hadoop Frameworks or GCP components.
Read, extract, transform, stage and load data to multiple targets, including Hadoop, Hive, BigQuery.
Migrate existing data processing from standalone or legacy technology scripts to Hadoop framework processing.
Should have experience working with gigabytes/terabytes of data and must understand the challenges of transforming and enriching such large datasets.
Additional Skills that are a plus:
C, Perl, Javascript or other programming skills and experience a plus
Production support/troubleshooting experience
Data cleaning/wrangling
Data visualization and reporting
Devops, Kubernetes, Docker containers
Powered by JazzHR",4.4,"SpringML
4.4","Pleasanton, CA","Pleasanton, CA",1 to 50 employees,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown,Data,"SpringML
",unspecified,80,103,Pleasanton, CA,yes,91.5,Yes,5,Yes,Yes,Yes,No,No
